code,name
031330,에스에이엠티
032190,다우데이타
032500,케이엠더블유
032640,LG유플러스
032820,우리기술
032830,삼성생명
033270,유나이티드제약
033530,SJG세종
033640,네패스
033780,KT&G
034020,두산에너빌리티
034220,LG디스플레이
034230,파라다이스
034730,SK
035250,강원랜드
035420,NAVER
035720,카카오
035760,CJ_ENM
035900,JYP_Ent
036010,아비코전자
036120,서울평가정보
036200,유니셈
036420,콘텐트리중앙
036460,한국가스공사
036570,NC
036710,심텍홀딩스
036830,솔브레인홀딩스
036930,주성엔지니어링
037030,파워넷
037440,희림
038110,에코플라스틱
038500,삼표시멘트
039030,이오테크닉스
039200,오스코텍
039490,키움증권
039560,다산네트웍스
041020,폴라리스오피스
041190,우리기술투자
041440,현대에버다임
041510,에스엠
041650,상신브레이크
041910,폴라리스AI파마
041920,메디아나
041960,코미팜
042660,한화오션
042700,한미반도체
043260,성호전자
043370,피에이치에이
044490,태웅
045660,에이텍
046210,HLB파나진
046310,백금T&A
046890,서울반도체
046970,우리로
047040,대우건설
047050,포스코인터내셔널
047770,코데즈컴바인
047820,초록뱀미디어
048410,현대바이오
049120,파인디앤씨
050890,쏠리드
051160,지어소프트
051900,LG생활건강
051910,LG화학
051980,중앙첨단소재
052460,아이크래프트
053030,바이넥스
053620,태양
053800,안랩
054450,텔레칩스
054670,대한뉴팜
054920,한컴위드
055550,신한지주
056080,유진로봇
056190,에스에프에이
058400,KNN
058430,포스코스틸리온
058470,리노공업
058610,에스피지
058650,세아홀딩스
058820,CMG제약
060150,인선이엔티
060250,NHNKCP
060720,KH바텍
063170,서울옥션
064290,인텍플러스
064350,현대로템
064760,티씨케이
065350,신성델타테크
065420,에스아이리소스
065440,이루온
065680,우주일렉트로
066570,LG전자
066970,엘앤에프
067170,오텍
067310,하나마이크론
068270,셀트리온
068760,셀트리온제약
071050,한국금융지주
072950,빛샘전자
076610,해성옵틱스
078600,대주전자재료
078930,GS
079900,전진건설로봇
081580,성우전자
083660,CSA코스믹
084010,대한제강
084110,휴온스글로벌
084650,랩지노믹스
084990,헬릭스미스
085660,차바이오텍
086390,유니테스트
086520,에코프로
086790,하나금융지주
086900,메디톡스
086960,MDS테크
088280,쏘닉스
088350,한화생명
088800,에이스테크
089970,브이엠
090080,평화산업
090460,비에이치
090710,휴림로봇
091580,상신이디피
092190,서울바이오시스
095340,ISC
095700,제넥신
095910,에스에너지
096530,씨젠
097950,CJ제일제당
098460,고영
099320,쎄트렉아이
100590,머큐리
100790,미래에셋벤처투자
101170,우림피티에스
101490,에스앤에스텍
102710,이엔에프테크놀로지
103590,일진전기
105560,KB금융
106240,파인테크닉스
108490,로보티즈
110790,크리스에프앤씨
112040,위메이드
112610,씨에스윈드
119610,인터로조
121600,나노신소재
122870,와이지엔터테인먼트
128940,한미약품
131970,두산테스나
138040,메리츠금융지주
138080,오이솔루션
139130,IM금융지주
139480,이마트
141080,리가켐바이오
142210,유니트론텍
145020,휴젤
161390,한국타이어앤테크놀로지
168330,내츄럴엔도텍
171090,선익시스템
175330,JB금융지주
180640,한진칼
187790,나노
192080,더블유게임즈
194480,데브시스터즈
195990,에이비프로바이오
196170,알테오젠
198940,한주라이트메탈
200130,콜마비앤에이치
200880,서연이화
203650,드림시큐리티
208640,썸에이지
209640,와이제이링크
211270,AP위성
214150,클래시스
214320,이노션
214370,케어젠
215600,신라젠
217190,제너셈
217500,러셀
222080,씨아이에스
223250,드림씨아이에스
227610,아우딘퓨쳐스
228760,지노믹트리
229000,젠큐릭스
230240,에치에프알
232680,라온로보틱스
235980,메드팩토
237690,에스티팜
240600,유진테크놀로지
240810,원익IPS
241560,두산밥캣
241790,티이엠씨씨엔에스
242040,나무기술
243840,신흥에스이씨
246690,TS인베스트먼트
247540,에코프로비엠
253450,스튜디오드래곤
253840,수젠텍
259960,크래프톤
262840,아이퀘스트
263750,펄어비스
264850,이랜시스
267250,HD현대
267260,HD현대일렉트릭
267270,HD건설기계
267320,나인테크
271560,오리온
271830,팸텍
273060,와이즈버즈
277810,레인보우로보틱스
278280,천보
290520,신도기연
290660,다이나믹솔루션
290670,대보마그네틱
293490,카카오게임즈
293580,나우IB
298540,더네이쳐홀딩스
299660,셀리드
302440,SK바이오사이언스
303530,이노뎁
316140,우리금융지주
322510,제이엘케이
323410,카카오뱅크
326030,SK바이오팜
336260,두산퓨얼셀
336570,원텍
340440,세림B&G
352820,하이브
353200,대덕전자
357780,솔브레인
361610,SK아이이테크놀로지
365340,성일하이텍
373220,LG에너지솔루션
375500,DL이앤씨
377480,마음AI
382800,지앤비에스에코
393890,더블유씨피
396270,넥스트칩
406820,뷰티스킨
417200,LS머트리얼즈
424960,스마트레이더시스템
429270,시지트로닉스
437730,삼현
440110,파두
450080,에코프로머티
452200,민테크
452260,한화갤러리아
452300,캡스톤파트너스
452450,피아이이
459510,나우로보틱스
475150,SK이터닉스
495050,RISE코리아밸류업
900300,오가닉티코스메틱
950160,코오롱티슈진
178320,서진시스템
218410,RFHIC
095270,웨이브일렉트로
270660,에브리봇
466100,클로봇
096240,크레버스
362320,청담글로벌
003690,코리안리
069410,엔텔스
321370,센서뷰
307930,컴퍼니케이
066970,엘앤에프
026960,동서
102260,동성케미컬
